iter	Passed	Remaining
0	60	60229
1	60	30268
2	61	20288
3	61	15302
4	61	12300
5	62	10327
6	62	8903
7	63	7822
8	63	6990
9	63	6315
10	64	5765
11	64	5307
12	64	4915
13	65	4584
14	65	4300
15	65	4044
16	66	3818
17	66	3618
18	66	3441
19	66	3281
20	67	3140
21	67	3013
22	68	2893
23	68	2781
24	68	2678
25	69	2589
26	69	2507
27	69	2425
28	70	2351
29	70	2282
30	70	2216
31	71	2154
32	71	2097
33	71	2043
34	72	1992
35	72	1943
36	72	1896
37	73	1852
38	73	1811
39	73	1771
40	74	1733
41	74	1699
42	74	1665
43	75	1633
44	75	1601
45	75	1572
46	76	1544
47	76	1516
48	76	1492
49	77	1468
50	77	1444
51	78	1422
52	78	1399
53	78	1377
54	78	1356
55	79	1335
56	79	1316
57	79	1297
58	80	1279
59	80	1262
60	80	1245
61	81	1230
62	81	1215
63	82	1199
64	82	1185
65	82	1171
66	83	1158
67	83	1147
68	84	1134
69	84	1122
70	84	1110
71	85	1099
72	85	1086
73	85	1074
74	86	1063
75	86	1052
76	86	1041
77	87	1031
78	87	1020
79	87	1010
80	88	1000
81	88	991
82	88	980
83	89	971
84	89	962
85	89	954
86	90	946
87	90	938
88	90	930
89	91	922
90	91	913
91	91	905
92	92	898
93	92	890
94	92	883
95	93	876
96	93	869
97	93	861
98	93	854
99	94	847
100	94	842
101	95	836
102	95	830
103	95	824
104	95	818
105	96	812
106	96	807
107	97	801
108	97	795
109	97	790
110	98	785
111	98	780
112	98	774
113	98	769
114	99	764
115	99	760
116	100	755
117	100	750
118	100	746
119	101	742
120	101	738
121	101	733
122	102	728
123	102	724
124	102	720
125	103	715
126	103	710
127	103	707
128	104	703
129	104	700
130	104	696
131	105	692
132	105	688
133	105	684
134	106	680
135	106	677
136	107	674
137	107	670
138	107	667
139	108	664
140	108	661
141	108	656
142	108	653
143	109	650
144	109	646
145	109	643
146	110	639
147	110	636
148	110	633
149	111	630
150	111	627
151	111	624
152	112	621
153	112	618
154	112	615
155	113	612
156	113	609
157	113	606
158	114	603
159	114	600
160	114	596
161	114	593
162	115	590
163	115	588
164	115	585
165	116	583
166	116	582
167	117	579
168	117	576
169	117	574
170	117	571
171	118	569
172	118	567
173	118	564
174	119	562
175	119	559
176	119	557
177	120	555
178	120	553
179	121	551
180	121	549
181	121	547
182	122	544
183	122	542
184	122	540
185	122	538
186	123	536
187	123	534
188	124	532
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	126	521
195	126	518
196	126	516
197	127	514
198	127	512
199	127	511
200	128	508
201	128	506
202	128	505
203	129	503
204	129	501
205	129	499
206	129	497
207	130	496
208	130	494
209	130	492
210	131	490
211	131	489
212	131	487
213	132	485
214	132	483
215	132	482
216	133	480
217	133	478
218	133	476
219	134	475
220	134	473
221	134	471
222	134	470
223	135	468
224	135	467
225	135	465
226	136	463
227	136	462
228	136	460
229	137	458
230	137	457
231	137	455
232	137	454
233	138	452
234	138	450
235	138	449
236	139	447
237	139	446
238	139	444
239	139	442
240	140	441
241	140	439
242	140	438
243	140	436
244	141	435
245	141	433
246	141	432
247	142	430
248	142	429
249	142	428
250	143	427
251	143	425
252	143	424
253	144	423
254	144	421
255	144	420
256	144	418
257	145	417
258	145	416
259	145	414
260	145	413
261	146	412
262	146	411
263	147	410
264	147	409
265	147	407
266	148	406
267	148	405
268	148	404
269	148	402
270	149	401
271	149	400
272	149	399
273	150	398
274	150	397
275	150	395
276	151	394
277	151	393
278	151	392
279	151	390
280	152	389
281	152	388
282	152	387
283	152	385
284	153	384
285	153	383
286	153	381
287	154	380
288	154	379
289	154	378
290	154	377
291	154	375
292	155	374
293	155	373
294	155	372
295	156	371
296	156	369
297	156	368
298	156	367
299	157	366
300	157	365
301	157	364
302	158	363
303	158	362
304	158	361
305	158	360
306	159	359
307	159	358
308	159	356
309	159	355
310	160	355
311	160	354
312	161	353
313	161	352
314	161	351
315	162	350
316	162	350
317	162	349
318	163	348
319	163	347
320	163	346
321	164	345
322	164	344
323	164	343
324	165	342
325	165	341
326	165	341
327	166	340
328	166	339
329	166	338
330	166	337
331	167	336
332	167	335
333	167	334
334	168	333
335	168	332
336	168	331
337	168	330
338	169	329
339	169	328
340	169	327
341	169	327
342	170	326
343	170	325
344	170	324
345	170	323
346	171	322
347	171	321
348	171	320
349	172	319
350	172	318
351	172	317
352	172	316
353	173	315
